,Mean Sum Rewards,Mean Std Sum Rewards,Ms,alpha_thetas,alpha_ws
0,25.80666666666667,14.445851384470982,5,0.0001,0.001
1,22.52,11.774956475503425,5,0.0001,0.01
2,22.383333333333333,10.753126160434565,5,0.0001,0.02
3,49.303333333333335,36.74875946507885,5,0.001,0.001
4,48.96,31.98048988576212,5,0.001,0.01
5,38.03333333333333,26.802093616399116,5,0.001,0.02
6,109.92,63.53933374952347,5,0.01,0.001
7,153.46666666666667,61.716142314812764,5,0.01,0.01
8,153.54333333333332,60.93270705367429,5,0.01,0.02
9,25.16,12.333466665945954,15,0.0001,0.001
10,23.696666666666665,12.825676936867266,15,0.0001,0.01
11,22.606666666666666,12.169851637916087,15,0.0001,0.02
12,50.52333333333333,36.05231553666915,15,0.001,0.001
13,31.046666666666667,17.621894210202136,15,0.001,0.01
14,23.53,12.131601982700664,15,0.001,0.02
15,132.26333333333332,64.2765430689057,15,0.01,0.001
16,129.25,68.58285135513104,15,0.01,0.01
17,95.74333333333334,71.63963606520873,15,0.01,0.02
18,25.366666666666667,14.230913143185468,30,0.0001,0.001
19,23.47,13.106071112274646,30,0.0001,0.01
20,21.17,12.53054002560677,30,0.0001,0.02
21,51.916666666666664,32.83630697194122,30,0.001,0.001
22,24.84,14.365504980101928,30,0.001,0.01
23,23.196666666666665,12.073579511570802,30,0.001,0.02
24,114.11,59.513510230871105,30,0.01,0.001
25,105.45333333333333,58.08184876151547,30,0.01,0.01
26,14.586666666666666,5.2961453487943055,30,0.01,0.02
